WID,color,hit,phase,relation,response,rt,word
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,green,True,TEST,incongruent,green,1358,BLUE
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,green,True,TEST,congruent,green,1118,GREEN
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,blue,True,TEST,incongruent,blue,855,RED
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,blue,True,TEST,congruent,blue,784,BLUE
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,green,True,TEST,unrelated,green,783,MONKEY
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,red,True,TEST,unrelated,red,696,SHIP
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,red,True,TEST,incongruent,red,774,GREEN
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,red,True,TEST,congruent,red,744,RED
A1NF0ETG2CJCYZ:3Y5140Z9DY08PNPYVAPO0VQMA73PIO,blue,True,TEST,unrelated,blue,886,ZAMBONI
debugTP2F1O:debugL67OTT,green,True,TEST,incongruent,green,916,BLUE
debugTP2F1O:debugL67OTT,red,True,TEST,congruent,red,526,RED
debugTP2F1O:debugL67OTT,red,True,TEST,unrelated,red,479,SHIP
debugTP2F1O:debugL67OTT,red,True,TEST,incongruent,red,447,GREEN
debugTP2F1O:debugL67OTT,green,True,TEST,congruent,green,543,GREEN
debugTP2F1O:debugL67OTT,green,True,TEST,unrelated,green,511,MONKEY
debugTP2F1O:debugL67OTT,blue,True,TEST,incongruent,blue,464,RED
debugTP2F1O:debugL67OTT,blue,True,TEST,congruent,blue,424,BLUE
debugTP2F1O:debugL67OTT,blue,True,TEST,unrelated,blue,406,ZAMBONI
